,Suburbs,Country,Lat,Lng
1080,Matlock,N/A,N/A,N/A
1081,McCrae,AU,-38.36,144.9339
1082,McKenzie Creek,AU,-36.8,142.1833
1083,McKenzie Hill,N/A,N/A,N/A
1084,McKinnon,AU,-37.9106,145.0386
1085,McLoughlins Beach,N/A,N/A,N/A
1086,McMahons Creek,AU,-37.7167,145.8333
1087,Mead,AU,-35.8094,144.1262
1088,Meadow Heights,AU,-37.6512,144.9186
1089,Meatian,N/A,N/A,N/A
1090,Meeniyan,AU,-38.5833,146.0167
1091,Meerlieu,AU,-38,147.4
1092,Melbourne,AU,-37.814,144.9633
1093,Melbourne Airport,AU,-37.6764,144.8365
1094,Melton,AU,-37.6833,144.5833
1095,Melton South,AU,-37.7077,144.5749
1096,Melton West,AU,-37.6785,144.5688
1097,Mentone,AU,-37.9833,145.0667
1098,Menzies Creek,AU,-37.9167,145.4
1099,Mepunga,N/A,N/A,N/A
1100,Mepunga East,AU,-38.45,142.7333
1101,Merbein,AU,-34.1833,142.0667
1102,Merbein South,AU,-34.2333,142.0333
1103,Merbein West,N/A,N/A,N/A
1104,Meredith,AU,-37.85,144.0833
1105,Meringur,N/A,N/A,N/A
1106,Merino,AU,-37.7167,141.55
1107,Mernda,AU,-37.6,145.1
1108,Merriang,AU,-36.5548,146.6832
1109,Merriang South,N/A,N/A,N/A
1110,Merricks,AU,-38.3833,145.0833
1111,Merricks North,AU,-38.35,145.0833
1112,Merrigum,AU,-36.3667,145.15
1113,Merrijig,AU,-37.1,146.25
1114,Merrimu,AU,-37.6576,144.4535
1115,Merton,AU,-36.9833,145.7167
1116,Metcalfe,AU,-37.1,144.4333
1117,Metung,AU,-37.8833,147.85
1118,Mia Mia,AU,-36.9999,144.5715
1119,Mickleham,AU,-37.5617,144.8773
1120,Middle Creek,AU,-37.4,143.2333
1121,Middle Park,AU,-27.5534,152.9212
1122,Middle Tarwin,AU,-38.6667,145.9333
1123,Miepoll,AU,-36.6167,145.4667
1124,Milawa,AU,-36.4333,146.4333
1125,Mildura,AU,-34.2,142.15
1126,Mill Park,AU,-37.6641,145.0643
1127,Millgrove,AU,-37.7667,145.65
1128,Milnes Bridge,N/A,N/A,N/A
1129,Miners Rest,AU,-37.4833,143.8
1130,Minhamite,AU,-37.9833,142.35
1131,Minimay,AU,-36.7122,141.1806
1132,Minjah,AU,-38.0347,142.4416
1133,Minyip,AU,-36.45,142.5833
1134,Mirboo,AU,-38.4667,146.2
1135,Mirboo North,AU,-38.4,146.15
1136,Mitcham,AU,-34.9833,138.6
1137,Mitchell Park,AU,-35.006,138.5616
1138,Mitiamo,AU,-36.2167,144.2333
1139,Mitre,AU,-36.7333,141.7833
1140,Mittyack,N/A,N/A,N/A
